de_easy;de_hard;en_easy;en_hard
;habgierig;;
;unersättlich;;
;habsüchtig;;
;aasgeier;;
;gierig;;
;materialistisch;;
;schnöden;;
;frönen;;
;achtsam;;
;wurstvergiftung;;
;fleischvergiftung;;
;vielseitige;;
;vielseitigkeit;;
;universelle;;
;medizinerin;;
;mediziner;;
;doktorin;;
;halbgott;;
;ärztin;;
;onkel;;
;arzt;;
;abgewinnen;;
;gewichten;;
;vignette;;
;stachelwalze;;
;tanzabend;;
;tanzveranstaltung;;
;asoziale;;
;brut;;
;pöbel;;
;kanaken;;
;gelichter;;
;mob;;
;niederes;;
;gesindel;;
;abschaum;;
;volks;;
;gleichlauf;;
;gleichzeitigkeit;;
;vergrößerungsapparat;;
;glasfaserkabel;;
;lichtleitkabel;;
;auffüllung;;
;blutkreislaufs;;
;starre;;
;ausdruckskraft;;
;einprägsamkeit;;
;anschaulichkeit;;
;übersichtlichkeit;;
;bildhaftigkeit;;
;baumeln;;
;abmagern;;
;thermostat;;
;lokalisierung;;
;positionierung;;
;vergießen;;
;heulende;;
;weinend;;
;schluchzen;;
;flennen;;
;vorstellungsvermögen;;
;imagination;;
;abschmettern;;
;verwehren;;
;stromwender;;
;gleichrichter;;
;humanität;;
;menschlichkeit;;
;ausdrucksvoll;;
;pathetisch;;
;meinethalben;;
;meinst;;
;braucht;;
;formatieren;;
;zurechtstellen;;
;nationalstaat;;
;verschlechterung;;
;inbusschlüssel;;
;missmut;;
;verdruss;;
;groll;;
;unmut;;
;missvergnügen;;
;verstärkte;;
;natrium;;
;handelspartner;;
;vertragspartner;;
;kassation;;
;stoßkraft;;
;drängende;;
;verleumder;;
;ehrabschneider;;
;eintreiben;;
;ordinate;;
;auszehren;;
;abzehren;;
;bauerngut;;
;bauernhof;;
;entfällt;;
;beitreten;;
;weideland;;
;weide;;
;grasland;;
;pigment;;
;farbstoff;;
;vererbung;;
;plätschern;;
;würfel;;
;schieflage;;
;schräglage;;
;ungleichheit;;
;balance;;
;ungleichgewicht;;
;administrator;;
;mönch;;
;ausweisung;;
;identifizierung;;
;bröcklig;;
;bröckelig;;
;auftragswesen;;
;eremit;;
;einsiedler;;
;abschrägen;;
;geschäftsbank;;
;bankhaus;;
;kreditanstalt;;
;kreditinstitut;;
;sparkasse;;
;finanzinstitution;;
;geldinstitut;;
;ficken;;
;geschlechtlich;;
;verlustieren;;
;vögeln;;
;pimpern;;
;lachs;;
;buttern;;
;begatten;;
;kopulieren;;
;nageln;;
;rammeln;;
;blinde;;
;zerstörungswut;;
;vandalismus;;
;menschenmenge;;
;zusammenrottung;;
;menschenmasse;;
;aufessen;;
;auffressen;;
;diabolisch;;
;satanisch;;
;beanstanden;;
;monieren;;
;linguistik;;
;sprachforschung;;
;sprachwissenschaft;;
;helikopter;;
;hubschrauber;;
;feuerung;;
;rausschmiss;;
;freisetzung;;
;optimal;;
;bestmöglich;;
;wünsche;;
;offenlassend;;
;benzin;;
;schuhsohle;;
;schuhwerk;;
;fußbekleidung;;
;treter;;
;gnu;;
;linux;;
;unlust;;
;unwille;;
;term;;
;rezension;;
;logistik;;
;unzählig;;
;massig;;
;zahlreich;;
;massenweise;;
;reihenweise;;
;haufenweise;;
;rauen;;
;legion;;
;boshaftes;;
;diebische;;
;aufforsten;;
;postkasten;;
;briefkasten;;
;ausbürgerung;;
;ire;;
;allerhand;;
;ausnehmend;;
;beträchtlich;;
;haushoch;;
;mobilität;;
;räuberpistole;;
;flunkerei;;
;jägerlatein;;
;ammenmärchen;;
;bluff;;
;schwindelei;;
;geflunker;;
;erfindung;;
;fehlschluss;;
;denkfehler;;
;irrglaube;;
;trugschluss;;
;klarer;;
;missverständnis;;
;hausschwein;;
;schwankungsbreite;;
;standardabweichung;;
;varianz;;
;streubreite;;
;einwandern;;
;zuwandern;;
;inkontinenz;;
;zurückzuhalten;;
;bulldog;;
;trecker;;
;zugmaschine;;
;traktor;;
;ohnedies;;
;ohnehin;;
;dreht;;
;wendet;;
;sowieso;;
;normiert;;
;standardisiert;;
;narrativ;;
;mythos;;
;idol;;
;lebende;;
;vorbild;;
;leuchtendes;;
;leitbild;;
;galionsfigur;;
;ikone;;
;delinquent;;
;suche;;
;einfacher;;
;vereinfachen;;
;leichter;;
;keuchen;;
;schnauben;;
;hecheln;;
;schnaufen;;
;röcheln;;
;äther;;
;funk;;
;radio;;
;hörfunk;;
;radioempfänger;;
;radioapparat;;
;abrücken;;
;genügen;;
;hinkommen;;
;ausreichen;;
;puff;;
;bordell;;
;etablissement;;
;imstande;;
;radebrechen;;
;modellieren;;
;ausfuhr;;
;export;;
;großmutter;;
;oma;;
;großmama;;
;staatsverfassung;;
;grundgesetz;;
;spanner;;
;voyeur;;
;vorrücken;;
;fortschreiten;;
;fortschritte;;
;voranschreiten;;
;umwickeln;;
;bandagieren;;
;dämmen;;
;kugelschreiber;;
;lehrende;;
;instrukteur;;
;lehrperson;;
;ausbilder;;
;lehrer;;
;strippe;;
;schnur;;
;paste;;
;krem;;
;kreme;;
;schwarzmalerei;;
;einfalt;;
;unvernunft;;
;torheit;;
;unverstand;;
;gitarre;;
;abonnent;;
;monument;;
;mahnmal;;
;denkmal;;
;antichrist;;
;luzifer;;
;beelzebub;;
;dämon;;
;mephisto;;
;leibhaftige;;
;fürst;;
;finsternis;;
;himmlischer;;
;hauptstraße;;
;verkehrsader;;
;hauptverkehrsstraße;;
;dunkler;;
;farbiger;;
;dunkelhäutiger;;
;mohr;;
;neger;;
;rundblick;;
;panorama;;
;teilmenge;;
;untermenge;;
;matte;;
;bleiche;;
;grünfläche;;
;weinbauer;;
;hauer;;
;winzer;;
;weingärtner;;
;segelschiff;;
;seher;;
;prophet;;
;hellseher;;
;weissager;;
;wahrsager;;
;realismus;;
;schweif;;
;trottelig;;
;zerstreuter;;
;schusslig;;
;vergesslich;;
;schusselig;;
;kodex;;
;dekret;;
;codex;;
;schnuller;;
;runzel;;
;zusammenstürzen;;
;überraschungsangriff;;
;handstreich;;
;finanzen;;
;geldmittel;;
;götze;;
;götzenbild;;
;abgott;;
;gefühlsduselei;;
;romantik;;
;ministerinnen;;
;minister;;
;regierungsmannschaft;;
;resultat;;
;fazit;;
;niederschießen;;
;kugel;;
;erschießen;;
;totschießen;;
;bindewort;;
;konjunktion;;
;zusammendrücken;;
;komprimieren;;
;feldstecher;;
;fernglas;;
;wiederaufladbare;;
;aufladbarer;;
;aufladbare;;
;akku;;
;zelte;;
;wegziehen;;
;fortziehen;;
;sternchen;;
;sentimentalität;;
;team;;
;unterschrift;;
;signatur;;
;autogramm;;
;friedrich;;
;nachschlagewerk;;
;abdichtung;;
;steiß;;
;hintere;;
;sitzfleisch;;
;verlängerter;;
;popo;;
;hinterteil;;
;schinken;;
;mitinhaber;;
;flussabwärts;;
;stromabwärts;;
;mündung;;
;übertölpeln;;
;überrumpeln;;
;hausarzt;;
;praktischer;;
;praktizierender;;
;splitten;;
;stückeln;;
;numerus;;
;clausus;;
;zulassungsbeschränkung;;
;alkohol;;
;labyrinth;;
;telegramm;;
;telegraphische;;
;depesche;;
;blondine;;
;blonden;;
;blondes;;
;notlanden;;
;menschenwürdig;;
;menschlich;;
;philanthropisch;;
;menschenfreundlich;;
;diskreditierung;;
;entwertung;;
;abwertung;;
;deklassierung;;
;hippie;;
;menschwerdung;;
;zusammensinken;;
;deflation;;
;preisverfall;;
;preisrückgang;;
;völkergemeinschaft;;
;konföderation;;
;völkerrechtlicher;;
;staatenbund;;
;gleichmacherei;;
;unterschieden;;
;gleichschaltung;;
;nivellierung;;
;pädagogik;;
;tagein;;
;tagaus;;
;vergeht;;
;täglich;;
;tagtäglich;;
;gleichstand;;
;remis;;
;reanimieren;;
;revitalisieren;;
;wiederbeleben;;
;gegensätzlich;;
;polar;;
;dualistisch;;
;diametral;;
;gegenteilig;;
;ewige;;
;allmächtiger;;
;aufbessern;;
;erhöhen;;
;aufgeblasener;;
;schaumschläger;;
;aufschneider;;
;windbeutel;;
;prahlhans;;
;wichtigtuer;;
;angeber;;
;großmaul;;
;gernegroß;;
;möchtegern;;
;großschnauze;;
;verwirken;;
;verscherzen;;
;einbüßen;;
;befriedung;;
;eingrenzung;;
;drang;;
;bedürfnis;;
;angler;;
;fischer;;
;flaches;;
;flachland;;
;plattes;;
;historie;;
;zerspringen;;
;aufplatzen;;
;splittern;;
;scherben;;
;zerschellen;;
;chauffieren;;
;karren;;
;erdreich;;
;hänger;;
;schlummer;;
;nachtruhe;;
;lebensstil;;
;konflikt;;
;fehde;;
;kontroverse;;
;kochkunst;;
;küche;;
;kanapee;;
;diwan;;
;couch;;
;pfandhaus;;
;pfandleihe;;
;leihhaus;;
;differenz;;
;sänger;;
;interpret;;
;versmaß;;
;ungeheizt;;
;beheizt;;
;bahnsteig;;
;ungekocht;;
;losschlagen;;
;abstoßen;;
;verschachern;;
;verhökern;;
;verscheuern;;
;verscherbeln;;
;säufer;;
;alkoholiker;;
;trinker;;
;trunkenbold;;
;trunksüchtiger;;
;schlucker;;
;quarzen;;
;qualmen;;
;paffen;;
;zigarette;;
;vergraben;;
;elitär;;
;elfenbeinturm;;
;abgehoben;;
;verbund;;
;zusammenschluss;;
;glücksgefühl;;
;lady;;
;elegante;;
;vornehme;;
;verhängnisvolle;;
;männer;;
;verschlingende;;
;fatale;;
;vamp;;
;gleichgeschlechtliche;;
;homosexualität;;
;parlamentarier;;
;abgeordneter;;
;deputierter;;
;delegierter;;
;volksvertreter;;
;kirmes;;
;jahrmarkt;;
;volksfest;;
;gebraten;;
;geröstet;;
;gegrillt;;
;gesotten;;
;köcheln;;
;papiertaschentuch;;
;schnupftuch;;
;taschentuch;;
;marktplatz;;
;gemüsemarkt;;
;wochenmarkt;;
;schaufenster;;
;kapsel;;
;globuli;;
;tablette;;
;singspiel;;
;oper;;
;bierglas;;
;anke;;
;butter;;
;aftershave;;
;hass;;
;vehikel;;
;fahrzeug;;
;gefährt;;
;sattelfest;;
;auskennen;;
;haussuchung;;
;durchsuchung;;
;nachtwandler;;
;schlafwandler;;
;mondsüchtiger;;
;elektrizität;;
;elektrischer;;
;unkonkret;;
;abstrakt;;
;delektieren;;
;betone;;
;wohlgemerkt;;
;vorübung;;
;schwenkend;;
;schaukelnd;;
;wechselvoll;;
;sprachlich;;
;mitgeteilt;;
;knallrot;;
;puterrot;;
;krebsrot;;
;feuerrot;;
;neige;;
;beschreibend;;
;deskriptiv;;
;determiniert;;
;besiegelt;;
;nägeln;;
;unverletzlich;;
;vorgestern;;
;steinzeitlich;;
;mittelalterlich;;
;vorgestrig;;
;finsteres;;
;verstaubt;;
;rückständig;;
;wussten;;
;griechen;;
;anachronismus;;
;steinzeit;;
;mittig;;
;klarerweise;;
;verheerend;;
;desaströs;;
;apokalyptisch;;
;höheren;;
;jungen;;
;scheintot;;
;vorgerückten;;
;vorgerücktem;;
;gehobenen;;
;rentenalter;;
;gealtert;;
;ältlich;;
;fortgeschrittenem;;
;ergraut;;
;fortgeschrittenen;;
;ausgebucht;;
;ausverkauft;;
;trunken;;
;gläser;;
;abgefüllt;;
;geschaut;;
;veilchen;;
;lau;;
;kostenfrei;;
;gratis;;
;unentgeltlich;;
;gebührenfrei;;
;berechnet;;
;kostenlos;;
;rechtsgültig;;
;rechtskräftig;;
;valide;;
;attentat;;
;provozieren;;
;polarisieren;;
;angegebenen;;
;aufgeführten;;
;angeführten;;
;blähungen;;
;ausgewogenheit;;
;durchgehend;;
;zugestehen;;
;vorenthalten;;
;verschlampen;;
;verbummeln;;
;verlustig;;
;reell;;
;sachbezogen;;
;gegenständlich;;
;handfest;;
;informatik;;
;optimum;;
;optimaler;;
;bestmögliches;;
;kettenglied;;
;organigramm;;
;organisationsplan;;
;freizeitbeschäftigung;;
;steckenpferd;;
;hobby;;
;freizeitaktivität;;
;korrelieren;;
;einhergehen;;
;zusammenhängen;;
;keuschheit;;
;standarte;;
;kunststoff;;
;organisches;;
;polymer;;
;plastik;;
;engerling;;
;larve;;
;raupe;;
;made;;
;nachvollziehen;;
;maßkrug;;
;bierkrug;;
;henkel;;
;seidel;;
;vervielfachen;;
;multiplizieren;;
;dialekt;;
;mundart;;
;aufzeichnung;;
;notizen;;
;jackett;;
;bereinigt;;
;schnittwunde;;
;aufzählen;;
;inkrementieren;;
;wahlmöglichkeit;;
;auswahlmöglichkeit;;
;interieur;;
;innenausstattung;;
;telepathie;;
;gedankenübertragung;;
;vetternwirtschaft;;
;herziehen;;
;tratschen;;
;synergie;;
;angesicht;;
;visage;;
;perversion;;
;perversität;;
;abberufen;;
;kommandos;;
;postens;;
;entmachten;;
;wiedergabe;;
;abbild;;
;visualisierung;;
;abreden;;
;abraten;;
;aberkennen;;
;hingegen;;
;andererseits;;
;irrglauben;;
;aberglaube;;
;aberglauben;;
;abebben;;
;abendessen;;
;nachtmahl;;
;abreise;;
;fahrtbeginn;;
;abfangen;;
;abflug;;
;abgekämpft;;
;ausgebrannt;;
;abgearbeitet;;
;erschlafft;;
;abgerackert;;
;verausgabt;;
;entkräftet;;
;überanstrengt;;
;ausgelaugt;;
;verbraucht;;
;abgespannt;;
;gestresst;;
;beziehungslos;;
;kontakte;;
;unwillig;;
;widerstrebend;;
;abhold;;
;abgerundet;;
;resümee;;
;schlussfolgerung;;
;schlussbemerkung;;
;abgesandter;;
;kurier;;
;abgeklungen;;
;inspiration;;
;anwandlung;;
;butterbrot;;
;scheibe;;
;stulle;;
;belegtes;;
;ausgemacht;;
;geritzt;;
;beschlossene;;
;ausgemergelt;;
;abgezehrt;;
;verhungert;;
;wandelndes;;
;eingefallen;;
;abgemagert;;
;spindeldürr;;
;lebender;;
;wandelnde;;
;unselbständig;;
;unmündig;;
;abhängigkeit;;
;hörigkeit;;
;unmündigkeit;;
;unselbständigkeit;;
;umhauen;;
;schlägern;;
;roden;;
;simulation;;
;vortäuschung;;
;plagiat;;
;mimikry;;
;abklatsch;;
;potemkinsches;;
;dorf;;
;attrappe;;
;abkömmlich;;
;riecher;;
;riechorgan;;
;kolben;;
;monopol;;
;konstrukt;;
;gebilde;;
;proband;;
;prüfling;;
;sudeln;;
;pfuschen;;
;stümpern;;
;schlampen;;
;leitend;;
;federführend;;
;hüben;;
;postum;;
;posthum;;
;lockmittel;;
;lockvogel;;
;köder;;
;arztpraxis;;
;weiblicher;;
;vertreterin;;
;schönen;;
;weibliches;;
;braut;;
;frauenzimmer;;
;weibsbild;;
;heroin;;
;netze;;
;instandhaltung;;
;wartungsarbeiten;;
;pflege;;
;wartung;;
;konservierung;;
;potenzial;;
;potential;;
;zielorientiert;;
;teleologisch;;
;verantworten;;
;aufhaben;;
;genesungsheim;;
;sanatorium;;
;zweikampf;;
;duell;;
;gottloser;;
;ungläubiger;;
;atheist;;
;wilddieb;;
;wilderer;;
;erfolge;;
;auszahlen;;
;rentieren;;
;götterspeise;;
;unikat;;
;einzelanfertigung;;
;einzelstück;;
;unikum;;
;asozial;;
;zeitungen;;
;zeitungswesen;;
;finanzamt;;
;fatalismus;;
;designiert;;
;spe;;
;aufgestellt;;
;gehandelt;;
;nominiert;;
;angehend;;
;beauftragen;;
;betrauen;;
;hinreißen;;
;diminutiv;;
;exponiert;;
;herausgehoben;;
;herausgestellt;;
;hermaphrodit;;
;zwitter;;
;veterinär;;
;tierarzt;;
;lehrbefähigung;;
;teutonisch;;
;germanisch;;
;denker;;
;kanton;;
;richter;;
;henker;;
;lande;;
;beschneidung;;
;sterblich;;
;bindestrich;;
;trennstrich;;
;sterilisierung;;
;sterilisation;;
;präsens;;
;vorvergangenheit;;
;vollendete;;
;plusquamperfekt;;
;sekret;;
;wägen;;
;wassersüchtig;;
;kalauer;;
;geistloser;;
;flacher;;
;umzingelt;;
;müdes;;
;kalter;;
;güteklasse;;
;überzahl;;
;mehrheit;;
;majorität;;
;minorität;;
;minderheit;;
;minderzahl;;
;geheimer;;
;inoffizieller;;
;informeller;;
;staatssicherheitsdienst;;
;horch;;
;guck;;
;stasi;;
;delirium;;
;umnachtung;;
;schelmenstreich;;
;eskapade;;
;verrücktheit;;
;tollheit;;
;närrischer;;
;hoher;;
;glimmstängel;;
;bewährt;;
;etabliert;;
;altbekannt;;
;altbewährt;;
;projizieren;;
;pomade;;
;prüde;;
;jungfrau;;
;verschämt;;
;schamhaft;;
;zudringlichkeit;;
;champion;;
;rekordhalter;;
;erstplatzierter;;
;gewinner;;
;treppchen;;
;favorit;;
;siegertreppchen;;
;alkoholisches;;
;alkoholika;;
;kontern;;
;koloskopie;;
;herhalten;;
;fungieren;;
;inflationsrate;;
;videokamera;;
;umso;;
;ipso;;
;gegenüberstellung;;
;beschattung;;
;observation;;
;observierung;;
;trend;;
;zeitgeist;;
;sekt;;
;schaumwein;;
;inkognito;;
;falschem;;
;hierdurch;;
;hierbei;;
;zuge;;
;quartal;;
;monate;;
;trimenon;;
;vierteljahr;;
;traktat;;
;pamphlet;;
;spottschrift;;
;streitschrift;;
;relationen;;
;ontologie;;
;atlantik;;
;negieren;;
;gebäuden;;
;gebäudekomplex;;
;architektonische;;
;komplex;;
;genügsamkeit;;
;anspruchslosigkeit;;
;eingeengt;;
;restriktiv;;
;homophob;;
;rücksichtsloser;;
;gewalttätiger;;
;gewalttäter;;
;ausufern;;
;entgleisen;;
;eskalation;;
;entgleisung;;
;demographisch;;
;demografisch;;
;doktorwürde;;
;normalisierung;;
;vereinheitlichung;;
;harmonisierung;;
;korrosion;;
;flasche;;
;pulle;;
;fläschchen;;
;buddel;;
;kanne;;
;pläsier;;
;zufriedenheit;;
;gnom;;
;zwerg;;
;wichtel;;
;heinzelmännchen;;
;kobold;;
;zuflüstern;;
;säuseln;;
;hauchen;;
;tuscheln;;
;tonloser;;
;wispern;;
;munkeln;;
;tragbarer;;
;notebook;;
;laptop;;
;hodensack;;
;meeresspiegel;;
;übergangsweise;;
;endgültige;;
;aushilfsweise;;
;befristet;;
;temporär;;
;vorübergehend;;
;kurzzeitig;;
;übergangszeit;;
;fußpflege;;
;schwinge;;
;ohnegleichen;;
;einmalig;;
;unvergleichlich;;
;beispiellos;;
;sondergleichen;;
;seinesgleichen;;
;rabe;;
;letztwillige;;
;fee;;
;elfe;;
;sylphe;;
;elbe;;
;schimpfwort;;
;beleidigender;;
;eingeordnet;;
;betreffenden;;
;hineingehörend;;
;unternehmens;;
;anspruchsberechtigter;;
;entführer;;
;kidnapper;;
;geiselnehmer;;
;dusel;;
;meise;;
;fortune;;
;vordergrund;;
;vorfahrt;;
;drahtesel;;
;hirsch;;
;fahrrad;;
;zweirad;;
;wiederhergestellt;;
;unzertrennlichen;;
;gespann;;
;tandem;;
;saubere;;
;pärchen;;
;duo;;
;doppelpack;;
;doppelte;;
;lottchen;;
;hübschen;;
;rotzen;;
;pneu;;
;bereifung;;
;stocken;;
;stagnieren;;
;pfuhl;;
;schwarzbrot;;
;intonation;;
;profiliert;;
;renommiert;;
;beleumdet;;
;rufs;;
;beleumundet;;
;frappieren;;
;verdutzen;;
;verblüffen;;
;verwundern;;
;überraschen;;
;wundernehmen;;
;schikanieren;;
;psychoterror;;
;mobbing;;
;terrorist;;
;untergrundkämpfer;;
;attentäter;;
;saboteur;;
;lolita;;
;nymphe;;
;abwiegen;;
;gutschrift;;
;overkill;;
;überschießend;;
;rostende;;
;banknoten;;
;allumfassend;;
;holistisch;;
;gesamtheitlich;;
;ganzheitlich;;
;schadstoff;;
;gesundheitsgefährdender;;
;urlauber;;
;sommerfrischler;;
;feriengast;;
;erholungssuchender;;
;tourist;;
;patriarchalisch;;
;freischwimmen;;
;emanzipieren;;
;reserviert;;
;introvertiert;;
;villa;;
;landhaus;;
;monarchie;;
;alleinherrschaft;;
;lehrmeinung;;
;dogma;;
;evangelium;;
;doktrin;;
;glaubenssatz;;
;kindisch;;
;kindlich;;
;infantil;;
;visitenkarte;;
;kärtchen;;
;postkarte;;
;erproben;;
;ausprobieren;;
;irgendetwas;;
;irgendwas;;
;josef;;
;nichtwissen;;
;ahnungslosigkeit;;
;aufwiegend;;
;kompensatorisch;;
;umdrehung;;
;drehbewegung;;
;umkreisung;;
;symptom;;
;flexion;;
;leidvoll;;
;diskriminieren;;
;benachteiligen;;
;zerlegbar;;
;aufteilbar;;
;dokumentation;;
;dokumentarfilm;;
;doku;;
;herzlosigkeit;;
;gefühllosigkeit;;
;herumtanzen;;
;schwachsinnig;;
;hirnrissig;;
;reiner;;
;vernunftwidrig;;
;blödsinnig;;
;wahnwitzig;;
;hirnverbrannt;;
;irrsinn;;
;liberal;;
;freiheitlich;;
;freisinnig;;
;vorurteilslos;;
;anarchistisch;;
;gesetzlos;;
;parlamentarismus;;
;volksherrschaft;;
;inszenieren;;
;darbieten;;
;szenario;;
;schatz;;
;schätzchen;;
;süße;;
;sonnenschein;;
;liebste;;
;liebling;;
;hübsche;;
;püppchen;;
;herzchen;;
;engelchen;;
;liebesgöttin;;
;schlaflosen;;
;gummibärchen;;
;liebes;;
;bärchen;;
;steuerruder;;
;dozieren;;
;vorlesung;;
;didaktik;;
;brummbär;;
;kurzform;;
;verdummen;;
;unempfindlich;;
;machtmissbrauch;;
;amtsmissbrauch;;
;kaliber;;
;nachhängen;;
;lasten;;
;investieren;;
;irregulär;;
;surrealistisch;;
;seiltänzer;;
;gesetzloser;;
;anarchie;;
;ähnlichkeit;;
;analytisch;;
;zergliedernd;;
;zerlegend;;
;verschlüsseln;;
;codieren;;
;chiffrieren;;
;endstufe;;
;schulterschluss;;
;pakt;;
;koalition;;
;vereint;;
;beisammen;;
;gemeinwesen;;
;ambivalenz;;
;gegensätzliches;;
;widerstreit;;
;spannungsverhältnis;;
;ambulanz;;
;krankenwagen;;
;dualität;;
;vorgestelltes;;
;fiktionales;;
;ausgedachtes;;
;erdachtes;;
;erzählerisch;;
;episch;;
;eindampfen;;
;lyrik;;
;gedichte;;
;poesie;;
;dramatik;;
;handelnde;;
;affe;;
;zugeknallt;;
;marihuana;;
;mary;;
;haschisch;;
;braunes;;
;nutten;;
;diesel;;
;kokain;;
;lsd;;
;konsumieren;;
;abgestürzt;;
;pumpe;;
;fixer;;
;drogensüchtiger;;
;junkie;;
;drogenabhängiger;;
;schlaftablette;;
;schlafmittel;;
;schmerzmittel;;
;hungerkur;;
;schlankheitskur;;
;kräftigend;;
;stärkend;;
;indikation;;
;fruchtbarkeit;;
;geschlechtstrieb;;
;aphrodisiakum;;
;koexistenz;;
;heldengedicht;;
;epos;;
;subkultur;;
;titulieren;;
;bezeichnen;;
;paradigma;;
;baufällig;;
;kuriosum;;
;rarität;;
;sendbote;;
;remoulade;;
;amaretto;;
;begleiterin;;
;gefährtin;;
;anal;;
;synthese;;
;panoptikum;;
;einstehend;;
;partnerschaftlich;;
;zusammenhaltend;;
;geeint;;
;zusammenstehend;;
;verbünden;;
;solidarisieren;;
;geselligkeit;;
;kollektivieren;;
;enteignen;;
;sozialisieren;;
;vergesellschaften;;
;nationalisieren;;
;verstaatlichen;;
;implizieren;;
;kennzeichnung;;
;brandmarkung;;
;stigmatisierung;;
;stigma;;
;invertierung;;
;mehreren;;
;sensibilität;;
;fingerspitzengefühl;;
;einfühlung;;
;empathie;;
;sensitivität;;
;einfühlungsvermögen;;
;empfindungsvermögen;;
;feingefühl;;
;ambulant;;
;persistenz;;
;biss;;
;zünder;;
;komödie;;
;lustspiel;;
;kontaktschwach;;
;eigenbrötlerisch;;
;weltabgewandt;;
;träumerei;;
;ungeahnt;;
;entgegen;;
;streitsüchtig;;
;gebürstet;;
;suchend;;
;exponent;;
;landes;;
;auswärtig;;
;äquivalenz;;
;gegenwert;;
;arbeitsfähig;;
;erwerbsfähig;;
;bildungseinrichtung;;
;bildungsstätte;;
;bildungsanstalt;;
;lehranstalt;;
;bildungsstand;;
;bildungsgrad;;
;anspruchsberechtigung;;
;grundbesitz;;
;elixier;;
;zaubertrank;;
;exporteur;;
;schadenssumme;;
;resozialisierung;;
;intellektuelles;;
;geistiges;;
;aula;;
;festsaal;;
;auditorium;;
;zuhörerraum;;
;hörsaal;;
;baumeister;;
;erbauer;;
;konstrukteur;;
;fremdartig;;
;mitschwingen;;
;nachklang;;
;einzahl;;
;singular;;
;verb;;
;verbum;;
;zeitwort;;
;temporale;;
;umstandswort;;
;adverb;;
;gleichnishaft;;
;symbolisch;;
;allegorisch;;
;darlegung;;
;parabolisch;;
;sinnbildlich;;
;zusammengesetztes;;
;oberbegriff;;
;repression;;
;verlangsamend;;
;unterdrückend;;
;abbremsend;;
;untergliederung;;
;segmentierung;;
;aufgliederung;;
;unterteilung;;
;unrealistisch;;
;utopisch;;
;unerfüllbar;;
;optimistisch;;
;realitätsfremd;;
;wirklichkeitsfremd;;
;vormundschaft;;
;entmündigen;;
;misanthrop;;
;menschenfeind;;
;ratifizieren;;
;lippen;;
;versiegelt;;
;verlernt;;
;herabsehen;;
;hinaufschauen;;
;kegelförmig;;
;regelmäßiges;;
;kubus;;
;tetraeder;;
;oktaeder;;
;zeitmessung;;
;chronometrie;;
;chronologisch;;
;injektionsnadel;;
;kanüle;;
;gegenleistung;;
;erworben;;
;virulent;;
;ansteckend;;
;übertragbar;;
;kontagiös;;
;infektiös;;
;prellung;;
;quetschung;;
;bettnässer;;
;kulanz;;
;kompromissbereitschaft;;
;gesamtschule;;
;zwergschule;;
;verwalter;;
;kuratorium;;
;aufsichtsbehörde;;
;kontrollorgan;;
;gegenseite;;
;oppositionell;;
;gegnerisch;;
;schulpflicht;;
;schulzwang;;
;totalitär;;
;jahrzehnt;;
;dekade;;
;gesellschaftssystem;;
;sozialstruktur;;
;gesellschaftsstruktur;;
;unwort;;
;judas;;
;abtrünniger;;
;verräter;;
;überläufer;;
;programmierung;;
;gehirnwäsche;;
;konditionierung;;
;meinungsbildung;;
;meinungsmache;;
;steuerbar;;
;lenkbar;;
;kontrollierbar;;
;regelbar;;
;beherrschbar;;
;anklagend;;
;vorwurfsvoll;;
;gepflogenheiten;;
;tradition;;
;sitten;;
;gebräuche;;
;beichte;;
;geständnis;;
;bestellformular;;
;bestellzettel;;
;benutzerfreundlich;;
;bedienbar;;
;bedienerfreundlich;;
;demagoge;;
;agitator;;
;scharfmacher;;
;populist;;
;aufhetzer;;
;provokateur;;
;brandstifter;;
;artist;;
;verheiraten;;
;geheimbund;;
;arbeiter;;
;bankanweisung;;
;scheck;;
;verehrenswert;;
;verehrungswürdig;;
;werft;;
;schiffswerft;;
;dock;;
;bewaffnen;;
;armieren;;
;asphalt;;
;gebäck;;
;biwak;;
;wolkenkratzer;;
;hochhaus;;
;gesetzesbruch;;
;rechtsbruch;;
;gesetzesverstoß;;
;rechtsverletzung;;
;induktion;;
;verallgemeinerung;;
;delegieren;;
;aussenden;;
;abkommandieren;;
;entsenden;;
;abordnen;;
;deputieren;;
;abschweifen;;
;obliegenheit;;
;schuldigkeit;;
;feindschaft;;
;feindselige;;
;animosität;;
;feindlichkeit;;
;spötter;;
;satiriker;;
;zyniker;;
;ironiker;;
;artistisch;;
;künstlerisch;;
;akrobatisch;;
;jünger;;
;schüler;;
;verzeihen;;
;entschuldigen;;
;begnadigen;;
;amnestieren;;
;pharmazie;;
;pillendreher;;
;pharmazeut;;
;apotheker;;
;halbtagsarbeit;;
;zusammenlaufen;;
;konvergieren;;
;fokussieren;;
;achsel;;
;verachten;;
;marktgebiet;;
;investigativ;;
;enthüllend;;
;tragödie;;
;optimismus;;
;positives;;
;lebensbejahung;;
;nette;;
;verhaltensregel;;
;hinblättern;;
;löhnen;;
;berappen;;
;entrichten;;
;lockermachen;;
;abdrücken;;
;blechen;;
;abführen;;
;nachforschend;;
;hilferuf;;
;brettern;;
;verrückter;;
;gesengte;;
;geisteskranker;;
;getrost;;
;einsehbar;;
;spruchreif;;
;ungelegte;;
;solider;;
;stichhaltig;;
